player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Ernie Clement,Toronto Blue Jays,$2300,3.78,4.19,0.47,1.11,0.87,0.21,0.04,0.05,0.36,0.07,0.01,0.22,0.44,0.285,0.325,0.412,0.737,8.7,TOR @ LAA
Logan O'Hoppe,Los Angeles Angels,$2900,3.55,4.18,0.6,0.96,0.58,0.12,0.01,0.24,0.5,0.01,0.02,0.34,1,0.254,0.321,0.48,0.801,10.3,TOR @ LAA
Zach Neto,Los Angeles Angels,$3300,3.88,4.62,0.61,1.28,0.85,0.24,0.09,0.2,0.72,0.09,0.03,0.18,0.97,0.291,0.323,0.542,0.864,12.8,TOR @ LAA
Nolan Schanuel,Los Angeles Angels,$2500,3.68,4.51,0.45,1.03,0.84,0.19,0.01,0.07,0.41,0.04,0.01,0.46,0.72,0.267,0.348,0.389,0.737,9.2,TOR @ LAA
Kyren Paris,Los Angeles Angels,$2500,3.2,3.85,0.38,0.72,0.48,0.13,0.04,0.11,0.45,0.03,0.01,0.33,0.99,0.209,0.285,0.375,0.66,8,TOR @ LAA
Salvador Perez,Kansas City Royals,$2800,3.93,4.23,0.51,1.08,0.68,0.27,0.02,0.14,0.71,0,0.01,0.39,0.59,0.29,0.362,0.49,0.851,11,CHW @ KC
Michael Taylor,Chicago White Sox,$2500,3.0,3.71,0.44,0.73,0.47,0.15,0.03,0.11,0.31,0.08,0.01,0.17,1.32,0.211,0.253,0.372,0.625,7.5,CHW @ KC
Andrew Benintendi,Chicago White Sox,$2900,3.07,4.49,0.5,0.94,0.66,0.13,0.01,0.16,0.45,0.01,0.02,0.3,0.76,0.227,0.277,0.388,0.665,8.9,CHW @ KC
Luis Robert,Chicago White Sox,$3500,3.06,4.38,0.48,0.91,0.58,0.18,0.01,0.18,0.57,0.16,0.09,0.36,1.12,0.231,0.299,0.434,0.733,10.7,CHW @ KC
Andrew Vaughn,Chicago White Sox,$2500,3.12,4.15,0.37,0.9,0.61,0.18,0.01,0.11,0.45,0,0,0.2,0.84,0.232,0.275,0.37,0.645,7.8,CHW @ KC
Jonathan India,Kansas City Royals,$2700,4.0,4.56,0.66,0.88,0.62,0.16,0.02,0.13,0.47,0.06,0.02,0.71,0.89,0.232,0.349,0.398,0.747,10.8,CHW @ KC
Kyle Isbel,Kansas City Royals,$2400,3.58,3.68,0.47,0.93,0.6,0.25,0.02,0.08,0.42,0.08,0.02,0.19,0.66,0.271,0.314,0.426,0.74,8.6,CHW @ KC
Bobby Witt Jr.,Kansas City Royals,$4000,3.33,4.45,0.71,1.29,0.88,0.22,0.05,0.15,0.6,0.24,0.08,0.42,0.71,0.322,0.385,0.523,0.908,13.3,CHW @ KC
Drew Waters,Kansas City Royals,$2500,3.92,3.9,0.49,0.86,0.54,0.22,0.02,0.11,0.56,0.02,0.01,0.52,0.91,0.261,0.368,0.447,0.814,9.8,CHW @ KC
Lenyn Sosa,Chicago White Sox,$2600,2.5,3.82,0.33,0.91,0.76,0.12,0.02,0.04,0.38,0,0.02,0.13,0.69,0.253,0.282,0.331,0.613,6.5,CHW @ KC
Vinnie Pasquantino,Kansas City Royals,$3000,3.6,4.34,0.52,0.97,0.52,0.3,0,0.18,0.74,0,0,0.31,0.51,0.247,0.304,0.471,0.775,10.8,CHW @ KC
Maikel Garcia,Kansas City Royals,$3200,3.22,4.12,0.58,0.98,0.69,0.26,0.04,0.05,0.49,0.15,0.04,0.39,0.53,0.268,0.338,0.417,0.755,10.3,CHW @ KC
Freddy Fermin,Kansas City Royals,$2200,3.45,3.79,0.4,0.9,0.71,0.12,0.02,0.08,0.41,0.03,0.01,0.2,0.59,0.261,0.307,0.387,0.694,7.6,CHW @ KC
Michael Massey,Kansas City Royals,$2500,3.04,4.01,0.42,0.89,0.71,0.18,0.01,0.04,0.49,0.01,0.02,0.21,0.75,0.24,0.282,0.344,0.625,7.6,CHW @ KC
Miguel Vargas,Chicago White Sox,$2600,3.19,4.04,0.37,0.8,0.53,0.16,0.06,0.07,0.35,0.07,0.02,0.45,1.03,0.228,0.327,0.369,0.696,8.3,CHW @ KC
Brooks Baldwin,Chicago White Sox,$2600,2.92,3.93,0.38,0.84,0.62,0.17,0.02,0.05,0.32,0.15,0.02,0.19,0.98,0.229,0.274,0.341,0.615,7.6,CHW @ KC
Chase Meidroth,Chicago White Sox,$2300,5.09,4.6,0.61,1.15,0.89,0.14,0.04,0.14,0.68,0.07,0.01,0.37,0.95,0.282,0.349,0.459,0.808,11.7,CHW @ KC
Edgar Quero,Chicago White Sox,$2500,3.08,4.26,0.47,0.97,0.79,0.14,0,0.05,0.3,0.02,0.01,0.34,0.79,0.253,0.319,0.338,0.657,7.7,CHW @ KC
